Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,
LNVGY,24.482,2023/12/01,15:57 EST,-0.1779995,24.31,24.51,24.26,19171,
ASUR,8.05,2023/12/01,16:00 EST,0.0800004,7.95,8.35,7.93,310733,
AMD,121.39,2023/12/01,16:00 EST,0.22999573,119.88,121.4001,118.65,36552392,
2353.TW,34.85,2023/12/01,13:30 CST,-0.3500023,35.05,35.05,34.55,41233298,
DELL,71.93,2023/12/01,16:00 EST,-3.9400024,71.86,73.059,68.5,14189520,
GOOG,133.32,2023/12/01,16:00 EST,-0.59999084,133.32,133.5,132.16,23929770,
MSFT,374.51,2023/12/01,16:00 EST,-4.399994,376.76,378.16,371.31,32908681,
AAPL,191.24,2023/12/01,16:00 EST,1.2900085,190.33,191.555,189.23,44867786,
